Name,RIM DFGA,RIM DFG%
AJ Hammons,15,40
Aaron Brooks,43,76.7
Aaron Gordon,134,59
Aaron Harrison,5,60
Adreian Payne,13,53.8
Al Horford,254,59.4
Al Jefferson,110,61.8
Al-Farouq Aminu,156,52.6
Alan Anderson,22,77.3
Alan Williams,40,72.5
Alec Burks,22,68.2
Alex Abrines,74,70.3
Alex Len,229,50.2
Alexis Ajinca,68,60.3
Allen Crabbe,89,70.8
Alonzo Gee,6,83.3
Amir Johnson,225,54.2
Anderson Varejao,22,63.6
Andre Drummond,264,61.7
Andre Iguodala,103,72.8
Andre Roberson,231,57.1
Andrew Bogut,95,52.6
Andrew Harrison,91,61.5
Andrew Nicholson,42,61.9
Andrew Wiggins,230,66.5
Anthony Bennett,31,71
Anthony Brown,15,73.3
Anthony Davis,285,55.4
Anthony Morrow,49,69.4
Anthony Tolliver,125,69.6
Arinze Onuaku,4,75
Aron Baynes,155,52.3
Arron Afflalo,70,72.9
Austin Rivers,109,59.6
Avery Bradley,98,68.4
Ben McLemore,46,56.5
Beno Udrih,22,77.3
Bismack Biyombo,274,58.4
Blake Griffin,140,66.4
Boban Marjanovic,31,48.4
Bobby Brown,4,50
Bobby Portis,75,66.7
Bojan Bogdanovic,120,66.7
Boris Diaw,103,61.2
Bradley Beal,113,75.2
Brandan Wright,18,61.1
Brandon Bass,49,71.4
Brandon Ingram,131,71
Brandon Jennings,85,74.1
Brandon Knight,82,73.2
Brandon Rush,33,60.6
Brian Roberts,7,71.4
Brook Lopez,249,56.6
Bruno Caboclo,1,0
Bryn Forbes,6,33.3
Buddy Hield,107,73.8
C.J. Watson,39,71.8
C.J. McCollum,135,51.1
C.J. Miles,66,62.1
C.J. Wilcox,12,66.7
Cameron Payne,29,72.4
Caris LeVert,47,70.2
Carmelo Anthony,156,62.2
Chandler Parsons,23,65.2
Channing Frye,174,59.8
Chasson Randle,10,80
Cheick Diallo,12,58.3
Chinanu Onuaku,3,100
Chris Andersen,32,59.4
Chris McCullough,8,62.5
Chris Paul,77,68.8
Christian Wood,3,33.3
Clint Capela,270,55.9
Cody Zeller,195,52.8
Cole Aldrich,111,65.8
Corey Brewer,78,64.1
Cory Joseph,106,69.8
Courtney Lee,123,69.1
Cristiano Felicio,168,60.1
D'Angelo Russell,92,76.1
D.J. Augustin,61,77
Damian Jones,4,50
Damian Lillard,129,66.7
Damjan Rudez,23,73.9
Daniel Ochefu,7,71.4
Danilo Gallinari,113,66.4
Danny Green,134,63.4
Dante Cunningham,136,64
Dante Exum,59,62.7
Dario Saric,191,62.8
Darrell Arthur,71,57.7
Darren Collison,61,73.8
Darrun Hilliard,14,78.6
David Lee,159,52.8
David West,104,58.7
Davis Bertans,98,58.2
DeAndre Jordan,299,54.2
DeAndre Liggins,57,66.7
DeAndre' Bembry,20,55
DeMar DeRozan,101,67.3
DeMarcus Cousins,281,53.4
DeMarre Carroll,145,55.9
Dejounte Murray,20,70
Delon Wright,4,50
Demetrius Jackson,1,100
Dennis Schroder,105,64.8
Denzel Valentine,27,74.1
Deron Williams,68,70.6
Derrick Favors,164,53.7
"Derrick Jones, Jr.",2,50
Derrick Rose,102,66.7
Derrick Williams,44,65.9
Devin Booker,138,57.2
Devin Harris,38,71.1
Dewayne Dedmon,138,49.3
Deyonta Davis,32,40.6
Diamond Stone,5,60
Dion Waiters,102,54.9
Dirk Nowitzki,115,55.7
Domantas Sabonis,192,54.2
Donatas Motiejunas,48,56.3
Dorian Finney-Smith,108,61.1
Doug McDermott,95,57.9
Dragan Bender,62,56.5
Draymond Green,309,48.5
Dwight Howard,203,52.7
Dwight Powell,173,69.4
Dwyane Wade,80,65
E'Twaun Moore,124,63.7
Ed Davis,120,55.8
Edy Tavares,2,50
Elfrid Payton,131,69.5
Emmanuel Mudiay,100,80
Enes Kanter,233,54.9
Eric Bledsoe,174,64.9
Eric Gordon,99,65.7
Ersan Ilyasova,181,62.4
Evan Fournier,94,62.8
Evan Turner,100,62
Frank Kaminsky,192,63.5
Fred VanVleet,8,75
Garrett Temple,104,66.3
Gary Harris,43,72.1
Gary Neal,2,100
George Hill,67,71.6
Georges Niang,3,66.7
Georgios Papagiannis,2,50
Gerald Green,37,75.7
Gerald Henderson,92,70.7
Giannis Antetokounmpo,243,53.1
Glenn Robinson,95,65.3
Goran Dragic,140,57.9
Gordon Hayward,86,62.8
Gorgui Dieng,345,60.6
Greg Monroe,206,61.7
Greivis Vasquez,2,50
Harrison Barnes,153,73.2
Hassan Whiteside,336,49.1
Henry Ellenson,3,66.7
Hollis Thompson,45,62.2
Ian Clark,40,75
Ian Mahinmi,11,63.6
Iman Shumpert,103,65
Isaiah Canaan,31,71
Isaiah Thomas,94,74.5
Isaiah Whitehead,103,63.1
Ish Smith,123,60.2
Ivica Zubac,107,57
J.J. Barea,22,77.3
J.J. Redick,91,76.9
J.R. Smith,42,64.3
JaMychal Green,153,59.5
JaVale McGee,110,57.3
Jabari Parker,145,59.3
Jae Crowder,103,65
Jahlil Okafor,189,58.2
Jake Layman,17,64.7
Jakob Poeltl,71,59.2
Jamal Crawford,82,64.6
Jamal Murray,78,74.4
Jameer Nelson,79,69.6
James Ennis,94,66
James Harden,223,70.4
James Johnson,168,52.4
James Jones,35,51.4
James Michael McAdoo,60,58.3
James Young,13,61.5
Jared Dudley,112,58
Jared Sullinger,12,41.7
Jarell Martin,64,65.6
Jarnell Stokes,1,100
Jason Smith,143,55.9
Jason Terry,40,77.5
Jaylen Brown,63,54
Jeff Green,152,70.4
Jeff Teague,121,71.1
Jeff Withey,78,60.3
Jerami Grant,144,52.8
Jeremy Lamb,58,72.4
Jeremy Lin,29,48.3
Jerian Grant,65,66.2
Jerryd Bayless,8,62.5
Jimmy Butler,138,67.4
Joakim Noah,191,62.8
Jodie Meeks,39,71.8
Joe Harris,94,71.3
Joe Ingles,74,63.5
Joe Johnson,62,64.5
Joe Young,9,88.9
Joel Anthony,13,61.5
Joel Bolomboy,2,50
Joel Embiid,187,43.9
Joffrey Lauvergne,90,61.1
John Henson,198,61.6
John Jenkins,2,100
John Wall,118,56.8
Johnny O'Bryant III,6,83.3
Jon Leuer,181,59.1
Jonas Jerebko,118,63.6
Jonas Valanciunas,289,56.7
Jonathan Gibson,17,82.4
Jonathon Simmons,82,63.4
Jordan Clarkson,108,68.5
Jordan Farmar,2,100
Jordan Hill,11,81.8
Jordan McRae,41,63.4
Jordan Mickey,22,72.7
Jose Calderon,26,92.3
Josh Huestis,1,100
Josh McRoberts,53,66
Josh Richardson,63,55.6
Jrue Holiday,109,64.2
Juan Hernangomez,65,69.2
Julius Randle,203,58.1
Justin Anderson,60,71.7
Justin Hamilton,221,58.8
Justin Holiday,105,67.6
Justise Winslow,66,65.2
Jusuf Nurkic,185,57.8
K.J. McDaniels,18,72.2
Karl-Anthony Towns,338,56.2
Kawhi Leonard,133,61.7
Kay Felder,16,68.8
Kelly Olynyk,177,58.8
Kelly Oubre,98,68.4
Kemba Walker,116,64.7
Kenneth Faried,142,62.7
Kent Bazemore,111,53.2
Kentavious Caldwell-Pope,89,73
Kevin Durant,245,58.8
Kevin Love,231,63.6
Kevin Seraphin,59,50.8
Kevon Looney,58,56.9
Khris Middleton,7,57.1
Klay Thompson,161,62.1
Kosta Koufos,168,62.5
Kris Dunn,75,61.3
Kris Humphries,90,60
Kristaps Porzingis,325,48.6
Kyle Anderson,64,51.6
Kyle Korver,132,63.6
Kyle Lowry,143,75.5
Kyle O'Quinn,210,47.6
Kyle Singler,35,62.9
Kyle Wiltjer,6,33.3
Kyrie Irving,129,71.3
LaMarcus Aldridge,194,50
Lamar Patterson,3,66.7
Lance Stephenson,13,46.2
Lance Thomas,33,60.6
Langston Galloway,71,60.6
Larry Nance Jr.,139,71.2
Lavoy Allen,69,59.4
LeBron James,171,64.9
Leandro Barbosa,35,65.7
Lou Williams,85,70.6
Luc Mbah a Moute,117,64.1
Lucas Nogueira,220,55.9
Luis Scola,67,65.7
Luke Babbitt,81,59.3
Luol Deng,154,68.2
Malachi Richardson,14,78.6
Malcolm Brogdon,115,72.2
Malcolm Delaney,46,82.6
Malik Beasley,7,100
Manu Ginobili,44,70.5
Marc Gasol,298,51.7
Marcelo Huertas,29,89.7
Marcin Gortat,389,59.1
Marco Belinelli,65,83.1
Marcus Morris,122,56.6
Marcus Smart,101,59.4
Marcus Thornton,23,69.6
Mario Hezonja,44,63.6
Markieff Morris,214,56.1
Marquese Chriss,116,69
Marreese Speights,177,61
Marshall Plumlee,10,50
Marvin Williams,135,58.5
Mason Plumlee,298,53
Matt Barnes,133,72.2
Matthew Dellavedova,86,66.3
Maurice Harkless,137,53.3
Maurice Ndour,17,70.6
Metta World Peace,13,76.9
Meyers Leonard,140,51.4
Michael Beasley,88,56.8
Michael Carter-Williams,53,50.9
Michael Gbinije,1,100
Michael Kidd-Gilchrist,187,54.5
Mike Conley,122,71.3
Mike Dunleavy,54,51.9
Mike Miller,5,40
Mike Muscala,160,53.8
Mike Scott,17,52.9
Mike Tobey,1,0
Miles Plumlee,75,57.3
Mindaugas Kuzminskas,66,63.6
Mirza Teletovic,100,63
Monta Ellis,74,68.9
Montrezl Harrell,151,62.9
Myles Turner,402,52.2
Nemanja Bjelica,147,55.1
Nene Hilario,167,70.1
Nerlens Noel,132,50.8
Nick Collison,16,50
Nick Young,97,76.3
Nicolas Batum,132,63.6
Nicolas Brussino,23,56.5
Nicolas Laprovittola,17,82.4
Nik Stauskas,115,73
Nikola Jokic,288,63.2
Nikola Mirotic,144,59
Nikola Vucevic,267,61.8
Noah Vonleh,91,53.8
Norman Powell,66,72.7
Okaro White,36,63.9
Omer Asik,98,59.2
Omri Casspi,38,65.8
Otto Porter,185,66.5
P.J. Tucker,138,63
Pascal Siakam,135,57.8
Pat Connaughton,17,41.2
Patrick Beverley,141,68.1
Patrick McCaw,49,65.3
Patrick Patterson,117,57.3
Patty Mills,64,73.4
Pau Gasol,191,56.5
Paul George,148,66.9
Paul Millsap,294,59.2
Paul Pierce,10,60
Paul Zipser,45,60
Pierre Jackson,4,75
Quincy Acy,5,80
Rajon Rondo,90,76.7
Rakeem Christmas,3,33.3
Ramon Sessions,44,56.8
Randy Foye,71,59.2
Rashad Vaughn,35,60
Raul Neto,19,57.9
Raymond Felton,87,71.3
Reggie Bullock,17,64.7
Reggie Jackson,67,56.7
Reggie Williams,4,75
Richard Jefferson,95,61.1
Richaun Holmes,103,57.3
Ricky Rubio,122,71.3
Robert Covington,135,59.3
Robin Lopez,410,52.7
Rodney Hood,83,61.4
Rodney McGruder,108,73.1
Rodney Stuckey,25,64
Ron Baker,28,57.1
Rondae Hollis-Jefferson,131,66.4
Ronnie Price,1,100
Roy Hibbert,131,47.3
Rudy Gay,97,48.5
Rudy Gobert,447,48.5
Russell Westbrook,121,69.4
Ryan Anderson,223,66.4
Ryan Kelly,7,57.1
Salah Mejri,160,52.5
Sam Dekker,140,61.4
Sasha Vujacic,19,68.4
Sean Kilpatrick,101,74.3
Semaj Christon,53,71.7
Serge Ibaka,294,58.5
Sergio Rodriguez,52,82.7
Seth Curry,76,73.7
Shabazz Muhammad,54,57.4
Shabazz Napier,11,72.7
Shaun Livingston,68,69.1
Sheldon McClellan,21,57.1
Shelvin Mack,71,59.2
Skal Labissiere,7,42.9
Solomon Hill,158,64.6
Spencer Dinwiddie,55,61.8
Spencer Hawes,107,62.6
Stanley Johnson,49,51
Stephen Curry,90,70
Stephen Zimmerman,7,71.4
Steve Novak,2,100
Steven Adams,294,58.5
T.J. McConnell,78,69.2
T.J. Warren,91,62.6
Taj Gibson,210,53.3
Tarik Black,147,56.5
Taurean Waller-Prince,39,51.3
Terrence Jones,211,63
Terrence Ross,88,70.5
Terry Rozier,68,64.7
Thabo Sefolosha,83,68.7
Thaddeus Young,145,58.6
Thomas Robinson,62,62.9
Thon Maker,39,61.5
Tim Frazier,77,71.4
Tim Hardaway,62,58.1
Tim Quarterman,3,33.3
Timofey Mozgov,204,60.3
Timothe Luwawu-Cabarrot,43,53.5
Tobias Harris,182,62.6
Tomas Satoransky,54,57.4
Toney Douglas,19,57.9
Tony Allen,101,60.4
Tony Parker,69,66.7
Tony Snell,104,69.2
Treveon Graham,8,87.5
Trevor Ariza,165,70.3
Trevor Booker,165,58.8
Trey Burke,43,69.8
Trey Lyles,152,57.2
Tristan Thompson,326,51.2
Troy Daniels,64,64.1
Troy Williams,27,55.6
Ty Lawson,66,60.6
Tyler Ennis,20,80
Tyler Johnson,161,55.9
Tyler Ulis,23,69.6
Tyler Zeller,76,55.3
Tyreke Evans,47,66
Tyson Chandler,219,61.6
Tyus Jones,23,87
Udonis Haslem,21,71.4
Victor Oladipo,149,69.1
Vince Carter,81,56.8
Wade Baldwin,30,66.7
Wayne Ellington,74,63.5
Wesley Johnson,92,57.6
Wesley Matthews,87,75.9
Will Barton,89,60.7
Willie Cauley-Stein,111,57.7
Willie Reed,141,54.6
Willy Hernangomez,195,55.9
Wilson Chandler,153,52.9
Yogi Ferrell,29,58.6
Zach LaVine,82,73.2
Zach Randolph,154,66.2
Zaza Pachulia,179,65.9