,Name,GP,MP,USG%,TOV%,STL%,AST%,ORB%,DRB%,FTR,PF,FTM,FTA,RIM FGM,RIM FGA,3-10 FGM,3-10 FGA,10-16 FGM,10-16 FGA,16-23 FGM,16-23 FGA,3PM,3PA
267,Emmanuel Mudiay,44,1237,22.4,16.6,1.5,21.5,2.3,11.8,0.293,83,110,142,86.0,171.0,14.0,57.0,15.0,54.0,15.0,45.0,49,159
268,Shabazz Muhammad,53,1040,20.1,7.4,0.7,3.8,5.8,11.3,0.319,61,96,122,81.0,126.0,40.0,94.0,13.0,45.0,5.0,19.0,41,99
269,Dejounte Murray,31,243,25.8,22.3,1.0,19.8,2.4,11.8,0.258,21,18,25,16.0,27.0,16.0,38.0,2.0,8.0,1.0,5.0,8,19
270,Jamal Murray,56,1116,21.1,13.1,1.2,12.9,3.3,10.9,0.18,77,71,81,58.0,98.0,19.0,44.0,12.0,38.0,16.0,53.0,72,218
271,Mike Muscala,50,984,15.2,12.9,1.2,10.4,6.9,13.6,0.198,80,42,54,55.0,79.0,10.0,25.0,18.0,38.0,21.0,46.0,36,85
272,Larry Nance Jr.,39,869,13.1,13.2,2.6,10.2,8.2,19.0,0.224,94,34,47,70.0,93.0,20.0,41.0,7.0,21.0,19.0,43.0,2,13
273,Shabazz Napier,32,246,22.6,16.5,3.4,17.9,0.9,9.6,0.263,18,18,25,8.0,17.0,2.0,6.0,1.0,2.0,7.0,14.0,19,56
274,Maurice Ndour,20,144,14.7,10.1,2.8,1.0,6.7,14.1,0.25,16,9,10,13.0,17.0,0.0,7.0,1.0,5.0,3.0,6.0,1,5
275,Jameer Nelson,56,1473,16.5,17.4,1.2,26.8,1.6,8.6,0.099,150,33,45,54.0,97.0,20.0,41.0,8.0,26.0,43.0,94.0,76,198
276,Raul Neto,29,213,15.8,15.3,3.0,14.9,0.6,10.0,0.068,27,4,4,15.0,22.0,5.0,9.0,0.0,1.0,1.0,6.0,6,21
277,Andrew Nicholson,28,231,17.8,11.8,2.4,4.2,5.5,11.1,0.156,37,7,12,12.0,18.0,10.0,28.0,4.0,12.0,1.0,3.0,3,16
278,Joakim Noah,46,1015,12.4,19.8,1.5,13.9,16.8,25.4,0.39,127,34,78,95.0,178.0,4.0,18.0,0.0,3.0,0.0,1.0,0,1
279,Nerlens Noel,29,564,17.9,12.5,3.6,9.2,9.0,19.2,0.36,71,43,63,76.0,107.0,14.0,28.0,3.0,13.0,10.0,21.0,0,1
280,Lucas Nogueira,48,1037,9.6,19.2,2.3,5.2,8.6,16.6,0.444,132,44,67,92.0,120.0,6.0,15.0,0.0,2.0,2.0,5.0,3,9
281,Dirk Nowitzki,30,780,26.1,6.3,1.4,11.1,2.0,26.2,0.185,59,60,69,15.0,28.0,9.0,21.0,33.0,75.0,44.0,114.0,46,119
282,Jusuf Nurkic,46,828,22.5,19.5,1.7,10.9,12.1,23.9,0.386,91,59,117,113.0,193.0,36.0,86.0,2.0,5.0,5.0,18.0,0,0
283,Kyle O'Quinn,55,840,18.8,14.4,1.4,12.6,14.0,25.0,0.178,118,39,52,94.0,143.0,13.0,28.0,13.0,34.0,35.0,78.0,1,9
284,Jahlil Okafor,38,874,22.9,11.8,0.8,8.2,7.8,15.2,0.344,89,74,121,96.0,134.0,55.0,135.0,21.0,58.0,5.0,18.0,0,0
285,Victor Oladipo,48,1616,21.0,9.5,1.8,12.0,1.9,12.5,0.167,111,83,112,106.0,175.0,19.0,61.0,37.0,74.0,39.0,90.0,92,260
286,Kelly Olynyk,50,1077,18.6,14.1,1.5,14.5,4.7,20.4,0.236,132,58,82,91.0,119.0,16.0,37.0,4.0,17.0,8.0,22.0,55,145
287,Kelly Oubre,53,1095,14.2,9.4,1.8,4.1,4.1,14.2,0.22,133,48,64,53.0,81.0,8.0,29.0,7.0,20.0,12.0,24.0,40,135
288,Zaza Pachulia,44,826,14.4,20.2,2.4,13.5,13.5,21.2,0.484,104,68,88,74.0,125.0,13.0,28.0,4.0,12.0,5.0,17.0,0,0
289,Jabari Parker,51,1728,26.1,9.2,1.5,13.9,5.4,15.2,0.268,111,162,218,228.0,339.0,43.0,119.0,16.0,56.0,47.0,122.0,65,178
290,Tony Parker,43,1121,20.0,11.5,0.9,28.5,0.9,7.0,0.188,67,59,76,65.0,111.0,42.0,101.0,19.0,48.0,49.0,100.0,16,45
291,Chandler Parsons,27,523,18.3,7.6,1.7,13.5,0.6,13.8,0.194,36,30,35,32.0,53.0,0.0,7.0,8.0,25.0,3.0,21.0,20,74
292,Patrick Patterson,40,1090,12.4,9.2,1.4,7.2,4.8,17.7,0.16,84,27,41,16.0,34.0,10.0,24.0,8.0,19.0,3.0,9.0,62,171
293,Chris Paul,36,1112,24.1,14.3,3.6,50.0,2.7,16.0,0.363,88,141,161,21.0,34.0,18.0,33.0,45.0,93.0,55.0,107.0,70,177
294,Cameron Payne,20,320,19.8,11.4,1.5,18.5,0.7,10.0,0.031,38,4,4,5.0,18.0,7.0,18.0,7.0,19.0,5.0,16.0,16,52
295,Elfrid Payton,58,1690,21.9,14.3,1.9,31.8,2.9,11.6,0.209,126,91,137,156.0,259.0,51.0,129.0,24.0,54.0,27.0,75.0,34,127
296,Paul Pierce,13,153,15.5,15.0,1.0,1.8,0.0,12.7,0.244,25,8,10,1.0,3.0,1.0,1.0,1.0,5.0,2.0,5.0,10,27
297,Mason Plumlee,55,1550,18.1,14.0,1.6,21.4,8.5,23.2,0.511,151,130,230,179.0,270.0,32.0,85.0,14.0,37.0,11.0,47.0,0,6
298,Miles Plumlee,37,377,14.2,20.9,1.6,7.4,8.3,13.2,0.443,57,22,35,25.0,45.0,10.0,27.0,1.0,5.0,,,0,0
299,Jakob Poeltl,32,345,10.9,16.6,1.6,3.6,13.3,15.9,0.483,64,16,28,22.0,44.0,6.0,11.0,1.0,2.0,0.0,1.0,0,0
300,Otto Porter,55,1862,15.5,6.0,2.2,6.7,4.4,17.7,0.153,138,70,88,84.0,116.0,26.0,50.0,27.0,49.0,50.0,104.0,118,254
301,Bobby Portis,39,472,17.6,11.5,0.8,6.7,9.5,20.5,0.206,48,21,32,28.0,44.0,14.0,24.0,5.0,18.0,7.0,24.0,13,36
302,Kristaps Porzingis,49,1620,24.0,9.8,1.1,6.4,5.4,17.5,0.26,189,149,190,108.0,155.0,37.0,114.0,63.0,137.0,27.0,84.0,93,242
303,Dwight Powell,56,1025,15.7,5.9,2.8,6.9,8.5,19.7,0.376,104,79,103,104.0,142.0,12.0,31.0,5.0,13.0,21.0,61.0,6,25
304,Norman Powell,53,919,19.3,10.8,2.1,9.0,2.1,10.9,0.278,83,68,88,78.0,134.0,14.0,39.0,3.0,9.0,13.0,31.0,36,105
305,Julius Randle,50,1412,21.9,17.0,1.2,20.2,6.8,24.8,0.368,172,136,190,147.0,231.0,59.0,173.0,21.0,40.0,19.0,49.0,6,24
306,Zach Randolph,50,1215,28.8,8.3,1.1,13.7,11.3,27.8,0.189,103,94,124,119.0,183.0,82.0,189.0,31.0,78.0,50.0,140.0,16,64
307,J.J. Redick,53,1498,22.4,9.2,1.2,7.4,0.8,7.6,0.204,86,113,128,29.0,56.0,14.0,31.0,11.0,35.0,82.0,175.0,139,330
308,Willie Reed,48,702,15.1,8.4,0.7,3.7,13.5,22.3,0.313,82,34,60,78.0,110.0,19.0,51.0,7.0,18.0,3.0,10.0,1,3
309,Josh Richardson,28,875,18.7,11.4,1.5,13.3,1.7,10.0,0.11,74,25,34,20.0,39.0,11.0,24.0,18.0,32.0,28.0,71.0,45,144
310,Malachi Richardson,22,198,19.2,9.5,1.3,8.8,1.8,11.8,0.279,23,15,19,6.0,8.0,2.0,7.0,2.0,5.0,10.0,20.0,8,28
311,Austin Rivers,54,1528,20.0,12.2,1.3,16.1,1.2,6.9,0.251,133,94,136,95.0,164.0,35.0,99.0,15.0,30.0,9.0,36.0,85,213
312,Andre Roberson,57,1745,10.3,9.0,1.9,4.4,4.2,14.3,0.247,138,37,86,109.0,169.0,2.0,20.0,0.0,1.0,2.0,6.0,35,145
313,Brian Roberts,20,146,17.3,17.6,0.7,23.9,2.2,9.5,0.595,5,19,22,0.0,5.0,0.0,4.0,2.0,7.0,5.0,7.0,6,13
314,Glenn Robinson,55,1204,12.6,9.4,1.2,4.7,4.6,13.9,0.217,52,44,61,37.0,63.0,10.0,26.0,10.0,21.0,30.0,67.0,38,99
315,Thomas Robinson,34,374,17.3,16.5,2.1,9.5,16.6,27.3,0.315,54,15,35,45.0,74.0,10.0,24.0,2.0,7.0,1.0,6.0,0,0
316,Sergio Rodriguez,51,1158,19.8,20.5,1.7,35.9,1.4,10.5,0.051,70,15,21,28.0,48.0,17.0,44.0,18.0,44.0,27.0,74.0,73,197
317,Rajon Rondo,48,1260,17.0,23.8,2.5,36.2,3.6,18.0,0.092,94,18,33,51.0,111.0,24.0,54.0,3.0,20.0,31.0,92.0,25,79
318,Derrick Rose,48,1544,26.2,12.7,1.1,23.1,3.8,9.3,0.228,69,147,170,,,,,,,,,13,54
319,Terrence Ross,54,1207,19.7,6.2,2.2,5.8,1.3,11.8,0.104,82,41,50,37.0,55.0,21.0,39.0,22.0,51.0,35.0,76.0,96,256
320,Terry Rozier,52,941,16.2,8.8,1.7,13.8,3.3,15.6,0.176,52,39,51,37.0,81.0,7.0,25.0,11.0,29.0,11.0,29.0,39,118
321,Ricky Rubio,51,1637,14.9,22.4,2.8,36.2,3.3,10.6,0.462,130,143,164,38.0,76.0,4.0,15.0,18.0,38.0,41.0,98.0,36,128
322,Damjan Rudez,35,267,13.0,10.3,2.1,8.7,2.0,7.6,0.0,28,0,0,2.0,3.0,0.0,1.0,1.0,2.0,4.0,10.0,19,54
323,Brandon Rush,23,414,10.5,12.2,1.5,5.3,2.2,9.1,0.122,14,7,10,5.0,11.0,1.0,4.0,1.0,4.0,3.0,13.0,20,50
324,D'Angelo Russell,42,1112,26.8,15.9,2.2,28.9,2.2,13.6,0.231,81,95,123,35.0,65.0,38.0,81.0,26.0,79.0,28.0,73.0,82,235
325,Domantas Sabonis,57,1235,14.9,15.3,1.2,7.0,3.1,15.9,0.094,144,23,33,54.0,97.0,28.0,74.0,5.0,17.0,12.0,32.0,39,124
326,Dario Saric,56,1368,22.9,15.0,1.3,11.8,6.0,20.7,0.208,97,91,116,83.0,150.0,27.0,64.0,10.0,28.0,25.0,88.0,72,220
327,Tomas Satoransky,39,553,12.1,20.5,1.8,16.9,4.4,9.2,0.239,46,20,26,17.0,35.0,13.0,24.0,5.0,13.0,5.0,10.0,6,27
328,Dennis Schroder,56,1728,27.3,15.9,1.3,35.3,1.8,8.4,0.231,96,158,190,170.0,306.0,42.0,110.0,35.0,76.0,60.0,130.0,69,200
329,Luis Scola,36,461,18.7,16.9,1.4,12.7,11.8,19.9,0.245,63,25,37,39.0,58.0,12.0,30.0,3.0,8.0,0.0,6.0,17,50
330,Mike Scott,18,195,15.6,11.5,1.0,12.3,5.7,15.1,0.138,12,7,8,4.0,7.0,4.0,10.0,3.0,10.0,2.0,4.0,4,27
331,Thabo Sefolosha,44,1137,13.7,11.5,3.2,8.9,3.4,14.7,0.197,67,44,57,68.0,107.0,11.0,26.0,7.0,26.0,20.0,51.0,26,79
332,Kevin Seraphin,34,416,17.1,11.9,0.5,7.2,8.5,20.4,0.074,46,5,10,23.0,34.0,24.0,39.0,11.0,27.0,13.0,27.0,0,1
333,Ramon Sessions,50,811,19.8,12.7,1.5,24.3,1.6,8.2,0.449,43,91,118,43.0,83.0,21.0,63.0,9.0,32.0,7.0,24.0,21,62
334,Iman Shumpert,51,1297,13.5,12.5,1.9,8.5,2.5,10.0,0.206,101,51,66,34.0,52.0,1.0,16.0,6.0,20.0,20.0,45.0,75,186
335,Pascal Siakam,48,806,12.8,13.4,1.4,2.7,8.2,15.1,0.171,103,22,32,54.0,88.0,21.0,46.0,7.0,22.0,12.0,27.0,0,4
336,Jonathon Simmons,52,942,17.8,14.3,1.9,12.9,1.7,12.5,0.348,100,72,96,60.0,100.0,13.0,43.0,8.0,17.0,20.0,53.0,19,63
337,Kyle Singler,27,282,10.5,14.3,0.5,2.4,1.6,10.9,0.2,20,9,11,14.0,19.0,1.0,6.0,0.0,1.0,1.0,3.0,6,26
338,Marcus Smart,54,1678,18.2,16.4,2.8,21.2,3.4,10.7,0.298,124,116,150,52.0,104.0,36.0,86.0,15.0,41.0,9.0,39.0,68,219
339,Ish Smith,56,1317,19.2,14.1,1.5,30.8,1.2,11.7,0.146,86,46,67,84.0,142.0,34.0,91.0,27.0,58.0,42.0,100.0,17,67
340,J.R. Smith,21,607,14.7,7.4,2.1,5.9,1.5,6.5,0.049,47,7,9,7.0,14.0,0.0,7.0,2.0,7.0,3.0,18.0,50,138
341,Jason Smith,53,710,16.9,15.5,1.0,3.7,8.4,18.8,0.168,122,24,36,29.0,44.0,10.0,21.0,14.0,23.0,52.0,103.0,10,21
342,Tony Snell,54,1541,11.7,8.5,0.9,6.0,1.2,11.9,0.106,86,28,37,39.0,55.0,6.0,13.0,8.0,19.0,12.0,25.0,95,237
343,Marreese Speights,56,924,24.4,8.5,1.0,8.6,7.9,23.0,0.304,163,109,124,59.0,96.0,23.0,56.0,8.0,24.0,14.0,31.0,79,201
344,Nik Stauskas,54,1459,15.6,15.5,1.0,12.6,1.1,10.1,0.238,101,77,95,57.0,102.0,5.0,25.0,7.0,18.0,6.0,24.0,85,226
345,Lance Stephenson,10,211,18.8,14.5,0.5,23.8,1.5,11.5,0.139,20,6,10,15.0,21.0,4.0,8.0,2.0,11.0,12.0,21.0,1,11
346,Rodney Stuckey,25,465,22.5,14.5,1.1,16.0,1.0,12.1,0.485,35,61,80,18.0,36.0,8.0,18.0,16.0,28.0,16.0,43.0,12,37
347,Jared Sullinger,11,118,20.9,7.2,1.7,3.7,9.5,16.4,0.167,17,4,8,7.0,12.0,1.0,7.0,2.0,4.0,2.0,7.0,3,18
348,Jeff Teague,57,1856,22.2,17.3,2.1,37.8,1.5,12.6,0.471,121,253,297,86.0,156.0,78.0,195.0,34.0,65.0,27.0,52.0,56,159
349,Mirza Teletovic,46,751,19.9,9.9,0.5,6.7,1.6,15.1,0.127,73,28,36,17.0,30.0,5.0,15.0,4.0,11.0,9.0,17.0,73,210
350,Garrett Temple,49,1301,13.3,13.0,2.3,12.8,2.4,9.3,0.202,108,49,62,44.0,65.0,7.0,13.0,10.0,20.0,15.0,51.0,58,158
351,Jason Terry,47,804,9.4,12.5,1.6,10.8,1.5,6.3,0.114,60,13,16,8.0,16.0,1.0,6.0,3.0,7.0,3.0,9.0,42,102
352,Isaiah Thomas,53,1830,34.2,10.0,1.1,33.8,1.8,6.9,0.444,115,427,468,,,,,,,,,172,445
353,Lance Thomas,32,558,13.0,9.5,1.2,4.2,3.1,9.0,0.146,57,18,21,11.0,27.0,8.0,24.0,3.0,8.0,12.0,36.0,21,49
354,Hollis Thompson,31,561,13.7,5.1,1.2,7.1,2.9,13.4,0.126,55,13,20,24.0,39.0,6.0,18.0,6.0,14.0,4.0,17.0,26,71
355,Klay Thompson,54,1844,25.6,8.8,1.1,9.0,2.4,9.4,0.162,102,127,151,,,,,,,,,182,431
356,Tristan Thompson,55,1651,11.3,10.1,0.9,3.9,14.1,21.3,0.524,131,84,163,139.0,213.0,34.0,73.0,6.0,13.0,1.0,2.0,0,3
357,Marcus Thornton,33,575,18.9,10.1,1.6,9.9,4.4,10.4,0.129,48,23,27,27.0,45.0,12.0,36.0,7.0,15.0,10.0,34.0,28,80
358,Anthony Tolliver,45,1042,13.2,12.5,1.4,6.2,5.0,14.0,0.218,75,42,53,23.0,35.0,13.0,21.0,2.0,10.0,8.0,16.0,63,162
359,Karl-Anthony Towns,57,2079,27.4,11.6,0.9,14.3,10.8,27.2,0.301,174,250,302,261.0,380.0,120.0,255.0,31.0,72.0,41.0,104.0,65,192
360,P.J. Tucker,57,1627,11.4,11.8,2.6,6.2,6.1,17.4,0.218,143,61,77,59.0,113.0,20.0,55.0,13.0,28.0,9.0,21.0,46,136
361,Evan Turner,50,1311,18.8,14.2,1.6,19.5,2.2,14.0,0.184,91,70,82,46.0,78.0,42.0,81.0,53.0,119.0,25.0,68.0,28,99
362,Myles Turner,56,1732,21.0,9.9,1.3,5.9,5.9,20.0,0.385,183,192,241,126.0,174.0,42.0,93.0,34.0,73.0,82.0,180.0,34,94
363,Beno Udrih,30,420,19.7,12.9,0.8,32.7,1.3,8.9,0.173,20,24,26,18.0,31.0,9.0,15.0,20.0,42.0,11.0,34.0,10,28
364,Tyler Ulis,36,324,19.9,17.0,3.0,21.4,3.0,5.6,0.133,29,13,16,4.0,14.0,10.0,24.0,17.0,34.0,10.0,31.0,6,18
365,Jonas Valanciunas,55,1481,19.7,11.9,0.9,4.4,12.1,29.4,0.305,153,132,155,142.0,235.0,82.0,151.0,31.0,73.0,19.0,51.0,0,0
366,Denzel Valentine,32,401,15.7,14.5,2.1,7.9,0.8,13.7,0.084,31,7,10,4.0,8.0,3.0,11.0,3.0,6.0,3.0,11.0,25,83
367,Fred VanVleet,21,145,21.4,5.7,3.5,18.6,2.3,12.6,0.18,18,9,11,8.0,20.0,1.0,9.0,2.0,4.0,4.0,9.0,7,18
368,Rashad Vaughn,24,277,16.7,6.8,2.2,5.2,0.4,11.3,0.021,13,1,2,9.0,14.0,1.0,10.0,0.0,5.0,5.0,10.0,19,56
369,Noah Vonleh,48,634,14.2,18.0,1.2,2.4,11.1,23.9,0.287,83,24,43,28.0,61.0,12.0,35.0,1.0,7.0,12.0,24.0,7,20
370,Nikola Vucevic,55,1569,24.4,10.7,1.7,17.4,8.3,30.9,0.156,131,69,112,94.0,152.0,83.0,178.0,69.0,145.0,72.0,182.0,14,50
371,Sasha Vujacic,28,229,15.1,12.4,2.0,13.7,1.4,14.0,0.234,23,12,15,0.0,2.0,1.0,4.0,9.0,22.0,11.0,36.0,11,36
372,Dwyane Wade,48,1458,30.0,10.5,2.6,22.9,3.9,12.5,0.298,90,189,237,111.0,196.0,55.0,131.0,69.0,166.0,71.0,182.0,39,121
373,Dion Waiters,34,1049,26.0,12.0,1.5,23.1,1.5,11.3,0.193,77,64,96,90.0,180.0,12.0,40.0,6.0,25.0,44.0,102.0,58,151
374,Kemba Walker,55,1884,28.8,10.4,1.7,29.2,2.0,10.9,0.259,89,212,254,184.0,316.0,21.0,65.0,22.0,63.0,57.0,150.0,149,377
375,John Wall,53,1940,30.5,16.7,2.9,46.4,2.5,10.9,0.344,106,272,335,203.0,338.0,33.0,90.0,35.0,100.0,104.0,245.0,57,182
376,Taurean Waller-Prince,33,353,17.4,16.4,1.8,8.7,2.2,17.9,0.311,39,29,32,12.0,26.0,8.0,17.0,4.0,13.0,3.0,7.0,11,40
377,T.J. Warren,44,1278,19.5,5.7,1.9,5.3,6.0,8.9,0.188,117,76,97,94.0,138.0,50.0,122.0,38.0,96.0,35.0,86.0,18,73
378,C.J. Watson,46,774,13.8,14.9,2.1,15.6,1.4,8.3,0.317,56,49,57,18.0,36.0,5.0,11.0,7.0,17.0,14.0,38.0,25,74
379,David West,42,484,17.0,21.9,2.8,23.8,6.4,18.6,0.261,60,26,35,25.0,38.0,16.0,28.0,5.0,14.0,25.0,50.0,2,4
380,Russell Westbrook,57,1974,41.8,16.1,2.3,56.3,5.8,27.5,0.441,137,497,600,232.0,398.0,22.0,92.0,108.0,250.0,80.0,233.0,124,367
381,Okaro White,14,226,10.8,16.4,0.7,3.7,4.4,12.7,0.41,28,15,16,6.0,10.0,1.0,4.0,2.0,2.0,1.0,4.0,8,19
382,Isaiah Whitehead,48,1048,18.6,21.0,1.2,20.2,1.6,10.0,0.189,121,52,63,63.0,129.0,19.0,55.0,6.0,17.0,13.0,43.0,28,89
383,Hassan Whiteside,52,1712,22.7,12.4,1.1,3.4,11.8,35.2,0.358,160,134,236,213.0,285.0,113.0,254.0,24.0,70.0,21.0,51.0,0,0
384,Andrew Wiggins,57,2120,28.2,9.7,1.2,11.6,3.9,9.2,0.342,121,272,361,187.0,284.0,56.0,142.0,67.0,156.0,107.0,271.0,72,203
385,Alan Williams,23,164,20.3,16.5,2.1,1.9,20.2,30.0,0.455,37,14,25,15.0,26.0,12.0,25.0,2.0,4.0,,,0,0
386,Deron Williams,40,1171,23.8,16.5,1.1,40.0,1.2,9.4,0.185,96,69,84,32.0,59.0,30.0,62.0,23.0,51.0,47.0,100.0,63,181
387,Derrick Williams,29,468,19.2,7.9,1.1,5.5,3.7,16.2,0.427,39,43,67,32.0,57.0,2.0,9.0,7.0,10.0,10.0,24.0,12,53
388,Lou Williams,58,1403,30.6,11.9,2.3,22.8,1.0,9.5,0.469,67,304,344,97.0,150.0,58.0,137.0,31.0,86.0,18.0,47.0,122,316
389,Marvin Williams,50,1423,17.4,6.6,1.3,6.6,3.6,17.3,0.172,83,70,83,57.0,98.0,27.0,68.0,13.0,37.0,11.0,28.0,86,248
390,Troy Williams,24,418,17.3,16.9,3.0,7.3,1.6,10.6,0.205,42,15,25,32.0,57.0,4.0,12.0,2.0,4.0,3.0,8.0,10,41
391,Justise Winslow,18,625,19.9,11.8,2.2,15.7,4.0,12.5,0.208,52,29,47,34.0,74.0,22.0,58.0,3.0,14.0,14.0,46.0,7,35
392,Jeff Withey,32,252,14.0,11.9,1.9,1.2,12.8,19.5,0.519,29,22,28,23.0,40.0,2.0,9.0,2.0,2.0,1.0,2.0,0,1
393,Brandan Wright,8,111,20.8,5.9,1.4,1.7,10.0,10.5,0.205,9,5,9,19.0,32.0,2.0,5.0,4.0,6.0,0.0,1.0,0,1
394,James Young,20,154,14.0,4.2,1.6,3.9,4.4,11.7,0.163,11,5,7,7.0,8.0,2.0,5.0,1.0,4.0,1.0,2.0,9,21
395,Joe Young,25,121,28.0,5.3,1.6,18.9,0.9,11.9,0.197,5,9,13,6.0,11.0,3.0,5.0,3.0,10.0,7.0,17.0,5,23
396,Nick Young,51,1351,19.4,4.9,1.2,6.5,1.9,7.9,0.158,122,73,86,29.0,46.0,6.0,17.0,18.0,43.0,41.0,85.0,147,356
397,Thaddeus Young,49,1524,16.6,13.1,2.9,8.1,5.5,16.4,0.136,95,36,63,109.0,167.0,67.0,125.0,7.0,21.0,14.0,40.0,44,111
398,Cody Zeller,39,1044,16.6,12.6,1.4,8.7,9.3,16.7,0.473,124,92,133,116.0,178.0,29.0,57.0,5.0,9.0,11.0,29.0,0,0
399,Tyler Zeller,35,413,16.5,9.2,0.7,12.1,10.1,17.7,0.205,44,15,26,36.0,61.0,9.0,25.0,0.0,2.0,13.0,35.0,0,1
400,Paul Zipser,23,350,14.7,13.6,1.0,4.1,2.4,13.8,0.275,24,20,25,9.0,18.0,5.0,11.0,1.0,4.0,3.0,12.0,13,46
401,Ivica Zubac,23,305,20.1,12.5,0.8,6.4,9.6,22.8,0.209,32,18,24,26.0,52.0,24.0,48.0,3.0,7.0,5.0,7.0,0,0
